name,address1,address2,address3,city,pincode,tel1,tel2,mobile,state,country,description,email,website,facebook,googleplus,twitter,timeofoperation_start,timeofoperation_end,credits,video,area
Bank Of Baroda - ATM,Netaji Subhas Chandra Road,,New Pnavel,Navi Mumbai,410206,27452503,27452949,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Panvel
Bank Of Baroda - ATM,Shop No 1 Kubal Niwas,Gokhale Road,Dadar West,Mumbai,400028,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Shivaji Park
Bank Of Baroda - ATM,Shop No 3 Rukmini Niwas,1st Lane,Dadar East,Mumbai,400014,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Hindu Colony
Bank Of Baroda - ATM,Royal Accord IV,120 Feet Road,Andheri West,Mumbai,400053,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Lokhandwala Complex
Bank Of Baroda - ATM,Shantinath Shopping Centre,S V Rd,Malad West,Mumbai,400064,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,
Bank Of Baroda - ATM,Jaya Talkies Building,S V Rd,Borivali West,Mumbai,400092,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,
Bank Of Baroda - ATM,B 79 Ground Floor ,Shanthi Commercial Complex,Mira Road,Thane,401107,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Opposite Railway Station
Bank Of Baroda - ATM,Apple Heritage Building,Opposite Solitaire Corporate Park,Andheri East,Mumbai,400099,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Chakala
Bank Of Baroda - ATM,Vashi Fuel Centre,Nr Vashi Gaon Devi Temple,Vashi ,Navi Mumbai,400703,1800224447,,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Sec 14
Bank Of Baroda - ATM,Sharda Niwas,,Dahisar,Mumbai,400068,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Lokmanya Tilak Road
Bank Of Baroda - ATM,Meghdoot Building,Junction Off Linking Road,Bandra West,Mumbai,400050,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Turner Road
Bank Of Baroda - ATM,,,Malad West,Mumbai,400064,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Mindspace
Bank Of Baroda - ATM,Shop No 3 Ground Floor,SAI Plaza,Panvel,Navi Mumbai,410206,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Dr Ambedkar Road
Bank Of Baroda - ATM,"Shop No 4,5,6 Bayside Arcade",Dr Bahasaheb Ambedkar Road,Parel,Mumbai,400012,1800223344,18001024455,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Lalbaug
Bank Of Baroda - ATM,,,Mumbai Central,Mumbai,400008,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Railway Station
Bank Of Baroda - ATM,,Savitri Road,Mahad,Raigad,402301,1800224447,,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Mahad
Bank Of Baroda - ATM,Shagun Mall,,Goregaon East,Mumbai,400063,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Near Dindoshi Bus Depot
Bank Of Baroda - ATM,G 5 Ground Floor,Suyash Building,Virar West,Thane,401303,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,, Viva College Road
Bank Of Baroda - ATM,Shelter Appartment,Premier Rd,Kurla West,Mumbai,400070,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Bail Bazaar
Bank Of Baroda - ATM,"Shop No 18, Ground Floor",Lords Plaza,Mira Road,Thane,401107,18001024455,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Next To Rassaz Plaza
Bank Of Baroda - ATM,Byculla House,,Byculla,Mumbai,400027,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Clare Road
Bank Of Baroda - ATM,Chembur Fair Lawn Chs,,Chembur East,Mumbai,400071,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,S T Road
Bank Of Baroda - ATM,Apurva Apartment,,DomDombivli East,Thane,421201,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Manpada Road
Bank Of Baroda - ATM,"Shop No 5, K 2 Building",Janta Chs,Bhayandar East,Thane,401105,1800224447,1800220400,,Maharashtra,India,Public Sector ATM,,www.bankofbaroda.com,,,,,,,,Jesal Park
